0,1
NSE: GREENPLY,Greenply Industries Limited
NSE: GRETEX,Gretex Industries Limited
NSE: GRINDWELL,Grindwell Norton Limited
NSE: GRINFRA,G R Infraprojects Limited
NSE: GRPLTD,GRP Limited
NSE: GSS,GSS Infotech Limited
NSE: GTLINFRA,GTL Infrastructure Limited
NSE: GTL,GTL Limited
NSE: GTNIND,GTN Industries Limited
NSE: GTNTEX,GTN Textiles Limited
NSE: GTPL,GTPL Hathway Limited
NSE: GUFICBIO,Gufic Biosciences Limited
NSE: GUJALKALI,Gujarat Alkalies and Chemicals Limited
NSE: GAEL,Gujarat Ambuja Exports Limited
NSE: GUJAPOLLO,Gujarat Apollo Industries Limited
NSE: FLUOROCHEM,Gujarat Fluorochemicals Limited
NSE: GUJGASLTD,Gujarat Gas Limited
NSE: GIPCL,Gujarat Industries Power Company Limited
NSE: GLFL,Gujarat Lease Financing Limited
NSE: GMDCLTD,Gujarat Mineral Development Corporation Limited
NSE: GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
NSE: GPPL,Gujarat Pipavav Port Limited
NSE: GUJRAFFIA,Gujarat Raffia Industries Limited
NSE: GSCLCEMENT,Gujarat Sidhee Cement Limited
NSE: GSFC,Gujarat State Fertilizers & Chemicals Limited
NSE: GSPL,Gujarat State Petronet Limited
NSE: GULFOILLUB,Gulf Oil Lubricants India Limited
NSE: GULPOLY,Gulshan Polyols Limited
NSE: GVKPIL,GVK Power & Infrastructure Limited
NSE: GAL,Gyscoal Alloys Limited
NSE: HGINFRA,H.G. Infra Engineering Limited
NSE: HAPPSTMNDS,Happiest Minds Technologies Limited
NSE: HARITASEAT,Harita Seating Systems Limited
NSE: HARRMALAYA,Harrisons Malayalam Limited
NSE: HATHWAY,Hathway Cable & Datacom Limited
NSE: HATSUN,Hatsun Agro Product Limited
NSE: HAVELLS,Havells India Limited
NSE: HBSL,HB Stockholdings Limited
NSE: HBLPOWER,HBL Power Systems Limited
NSE: HCL-INSYS,HCL Infosystems Limited
NSE: HCLTECH,HCL Technologies Limited
NSE: HDFCAMC,HDFC Asset Management Company Limited
NSE: HDFCBANK,HDFC Bank Limited
NSE: HDFCLIFE,HDFC Life Insurance Company Limited
NSE: HCG,Healthcare Global Enterprises Limited
NSE: HECPROJECT,HEC Infra Projects Limited
NSE: HEG,HEG Limited
NSE: HEIDELBERG,HeidelbergCement India Limited
NSE: HERANBA,Heranba Industries Limited
NSE: HERCULES,Hercules Hoists Limited
NSE: HERITGFOOD,Heritage Foods Limited
NSE: HEROMOTOCO,Hero MotoCorp Limited
NSE: HESTERBIO,Hester Biosciences Limited
NSE: HEXATRADEX,Hexa Tradex Limited
NSE: HEXAWARE,Hexaware Technologies Limited
NSE: HFCL,HFCL Limited
NSE: HIKAL,Hikal Limited
NSE: HIL,HIL Limited
NSE: HILTON,Hilton Metal Forging Limited
NSE: HSCL,Himadri Speciality Chemical Limited
NSE: HIMATSEIDE,Himatsingka Seide Limited
NSE: HIRECT,Hind Rectifiers Limited
NSE: HINDALCO,Hindalco Industries Limited
NSE: HINDCON,Hindcon Chemicals Limited
NSE: HPIL,Hindprakash Industries Limited
NSE: HGS,Hinduja Global Solutions Limited
NSE: HAL,Hindustan Aeronautics Limited
NSE: HINDCOMPOS,Hindustan Composites Limited
NSE: HCC,Hindustan Construction Company Limited
NSE: HINDCOPPER,Hindustan Copper Limited
NSE: HMVL,Hindustan Media Ventures Limited
NSE: HINDMOTORS,Hindustan Motors Limited
NSE: HINDOILEXP,Hindustan Oil Exploration Company Limited
NSE: HINDPETRO,Hindustan Petroleum Corporation Limited
NSE: HINDUNILVR,Hindustan Unilever Limited
NSE: HINDZINC,Hindustan Zinc Limited
NSE: HINDNATGLS,Hindustan National Glass & Industries Limited
NSE: HISARMETAL,Hisar Metal Industries Limited
NSE: HITECHCORP,Hitech Corporation Limited
NSE: HITECH,Hi-Tech Pipes Limited
NSE: HLVLTD,HLV Limited
NSE: HMT,HMT Limited
NSE: HONDAPOWER,Honda Siel Power Products Limited
NSE: HONAUT,Honeywell Automation India Limited
NSE: HOTELRUGBY,Hotel Rugby Limited
NSE: HUDCO,Housing & Urban Development Corporation Limited
NSE: HDIL,Housing Development and Infrastructure Limited
NSE: HDFC,Housing Development Finance Corporation Limited
NSE: HOVS,HOV Services Limited
NSE: HPL,HPL Electric & Power Limited
NSE: HSIL,HSIL Limited
NSE: HTMEDIA,HT Media Limited
NSE: HUBTOWN,Hubtown Limited
NSE: PAPERPROD,Huhtamaki PPL Limited
NSE: HUSYSLTD,Husys Consulting Limited
NSE: ICEMAKE,Ice Make Refrigeration Limited
NSE: ICICIBANK,ICICI Bank Limited
NSE: ICICIGI,ICICI Lombard General Insurance Company Limited
NSE: ICICIPRULI,ICICI Prudential Life Insurance Company Limited
NSE: ISEC,ICICI Securities Limited
NSE: ICRA,ICRA Limited
NSE: IDBI,IDBI Bank Limited
NSE: IDFCFIRSTB,IDFC First Bank Limited
NSE: IDFC,IDFC Limited
NSE: IFBAGRO,IFB Agro Industries Limited
NSE: IFBIND,IFB Industries Limited
NSE: IFCI,IFCI Limited
NSE: IFGLEXPOR,IFGL Refractories Limited
NSE: IGPL,IG Petrochemicals Limited
NSE: IGARASHI,Igarashi Motors India Limited
NSE: IIFL,IIFL Finance Limited
NSE: IIFLSEC,IIFL Securities Limited
NSE: IIFLWAM,IIFL Wealth Management Limited
NSE: IL&FSENGG,IL&FS Engineering and Construction Company Limited
NSE: IVC,IL&FS Investment Managers Limited
NSE: IL&FSTRANS,IL&FS Transportation Networks Limited
NSE: INDLMETER,IMP Powers Limited
NSE: IMPEXFERRO,Impex Ferro Tech Limited
NSE: INDBANK,Indbank Merchant Banking Services Limited
NSE: INDIAGLYCO,India Glycols Limited
NSE: IMPAL,India Motor Parts and Accessories Limited
NSE: INDNIPPON,India Nippon Electricals Limited
NSE: ITDC,India Tourism Development Corporation Limited
NSE: IBULHSGFIN,Indiabulls Housing Finance Limited
NSE: IBULISL,Indiabulls Integrated Services Limited
NSE: IBREALEST,Indiabulls Real Estate Limited
NSE: IBVENTURES,Indiabulls Ventures Limited
NSE: INDIAMART,Indiamart Intermesh Limited
NSE: INDIANB,Indian Bank
NSE: INDIANCARD,Indian Card Clothing Company Limited
NSE: IEX,Indian Energy Exchange Limited
NSE: INDIANHUME,Indian Hume Pipe Company Limited
NSE: IMFA,Indian Metals & Ferro Alloys Limited
NSE: IOC,Indian Oil Corporation Limited
NSE: IOB,Indian Overseas Bank
NSE: IRCTC,Indian Railway Catering and Tourism Corporation Limited
NSE: INDTERRAIN,Indian Terrain Fashions Limited
NSE: ICIL,Indo Count Industries Limited
NSE: INDORAMA,Indo Rama Synthetics (India) Limited
NSE: INDOTECH,Indo Tech Transformers Limited
NSE: INDOTHAI,Indo Thai Securities Limited
NSE: INDOCO,Indoco Remedies Limited
NSE: NIPPOBATRY,Indo-National Limited
NSE: INDOSOLAR,Indosolar Limited
NSE: INDOSTAR,IndoStar Capital Finance Limited
NSE: INDOWIND,Indowind Energy Limited
NSE: IGL,Indraprastha Gas Limited
NSE: INDRAMEDCO,Indraprastha Medical Corporation Limited
NSE: INDSWFTLAB,Ind-Swift Laboratories Limited
NSE: INDSWFTLTD,Ind-Swift Limited
NSE: INDUSINDBK,IndusInd Bank Limited
NSE: IITL,Industrial Investment Trust Limited
NSE: INEOSSTYRO,INEOS Styrolution India Limited
NSE: INFIBEAM,Infibeam Avenues Limited
NSE: NAUKRI,Info Edge (India) Limited
NSE: INFOBEAN,InfoBeans Technologies Limited
NSE: INFOMEDIA,Infomedia Press Limited
NSE: INFY,Infosys Limited
NSE: INGERRAND,Ingersoll Rand (India) Limited
NSE: INNOVANA,Innovana Thinklabs Limited
NSE: INNOVATIVE,Innovative Tyres and Tubes Limited
NSE: INOXLEISUR,INOX Leisure Limited
NSE: INOXWIND,Inox Wind Limited
NSE: INSECTICID,Insecticides (India) Limited
NSE: INSPIRISYS,Inspirisys Solutions Limited
NSE: INTEGRA,Integra Garments and Textiles Limited
NSE: INTELLECT,Intellect Design Arena Limited
NSE: INTENTECH,Intense Technologies Limited
NSE: INDIGO,InterGlobe Aviation Limited
NSE: SUBCAPCITY,International Constructions Limited
NSE: ISFT,Intrasoft Technologies Limited
NSE: INVENTURE,Inventure Growth & Securities Limited
NSE: IOLCP,IOL Chemicals and Pharmaceuticals Limited
NSE: IPCALAB,IPCA Laboratories Limited
NSE: IRB,IRB Infrastructure Developers Limited
NSE: IRCON,Ircon International Limited
NSE: IRISDOREME,Iris Clothings Limited
NSE: ISMTLTD,ISMT Limited
NSE: ITC,ITC Limited
NSE: ITDCEM,ITD Cementation India Limited
NSE: ITI,ITI Limited
NSE: IVP,IVP Limited
NSE: IZMO,IZMO Limited
NSE: JKIL,J.Kumar Infraprojects Limited
NSE: JAGRAN,Jagran Prakashan Limited
NSE: JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
NSE: JAIBALAJI,Jai Balaji Industries Limited
NSE: JAICORPLTD,Jai Corp Limited
NSE: JAIHINDPRO,Jaihind Projects Limited
NSE: JISLJALEQS,Jain Irrigation Systems Limited
NSE: JAINSTUDIO,Jain Studios Limited
NSE: JPASSOCIAT,Jaiprakash Associates Limited
NSE: JPPOWER,Jaiprakash Power Ventures Limited
NSE: JAKHARIA,Jakharia Fabric Limited
NSE: JALAN,Jalan Transolutions (India) Limited
NSE: JAMNAAUTO,Jamna Auto Industries Limited
NSE: JASH,Jash Engineering Limited
NSE: JAYBARMARU,Jay Bharat Maruti Limited
NSE: JAYAGROGN,Jayant Agro Organics Limited
NSE: JAYNECOIND,Jayaswal Neco Industries Limited
NSE: JPINFRATEC,Jaypee Infratech Limited
NSE: JAYSREETEA,Jayshree Tea & Industries Limited
NSE: JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
NSE: JBFIND,JBF Industries Limited
NSE: JBMA,JBM Auto Limited
NSE: JETAIRWAYS,Jet Airways (India) Limited
NSE: JETFREIGHT,Jet Freight Logistics Limited
NSE: JETKNIT,Jet Knitwears Limited
NSE: JHS,JHS Svendgaard Laboratories Limited
NSE: JIKIND,JIK Industries Limited
NSE: JINDRILL,Jindal Drilling And Industries Limited
NSE: JINDALPHOT,Jindal Photo Limited
NSE: JINDALPOLY,Jindal Poly Films Limited
NSE: JPOLYINVST,Jindal Poly Investment and Finance Company Limited
NSE: JINDALSAW,Jindal Saw Limited
NSE: JSLHISAR,Jindal Stainless (Hisar) Limited
NSE: JSL,Jindal Stainless Limited
NSE: JINDALSTEL,Jindal Steel & Power Limited
NSE: JINDWORLD,Jindal Worldwide Limited
NSE: JITFINFRA,JITF Infralogistics Limited
NSE: JKCEMENT,JK Cement Limited
NSE: JKLAKSHMI,JK Lakshmi Cement Limited
NSE: JKPAPER,JK Paper Limited
NSE: JKTYRE,JK Tyre & Industries Limited
NSE: JMFINANCIL,JM Financial Limited
NSE: JMCPROJECT,JMC Projects (India) Limited
NSE: JMTAUTOLTD,JMT Auto Limited
NSE: JOCIL,Jocil Limited
NSE: JCHAC,Johnson Controls – Hitachi Air Conditioning India Limited
NSE: JSWENERGY,JSW Energy Limited
NSE: JSWHL,JSW Holdings Limited
NSE: JSWSTEEL,JSW Steel Limited
NSE: JTEKTINDIA,Jtekt India Limited
NSE: JUBLFOOD,Jubilant Foodworks Limited
NSE: JUBLINDS,Jubilant Industries Limited
NSE: JUBILANT,Jubilant Life Sciences Limited
NSE: JMA,Jullundur Motor Agency (Delhi) Limited
NSE: JUSTDIAL,Just Dial Limited
NSE: JVLAGRO,JVL Agro Industries Limited
NSE: JYOTHYLAB,Jyothy Labs Limited
NSE: JYOTISTRUC,Jyoti Structures Limited
NSE: KMSUGAR,K.M.Sugar Mills Limited
NSE: KPRMILL,K.P.R. Mill Limited
NSE: KABRAEXTRU,Kabra Extrusion Technik Limited
NSE: KAJARIACER,Kajaria Ceramics Limited
NSE: KAKATCEM,Kakatiya Cement Sugar & Industries Limited
NSE: KALPATPOWR,Kalpataru Power Transmission Limited
NSE: KALYANI,Kalyani Commercials Limited
NSE: KALYANIFRG,Kalyani Forge Limited
NSE: KICL,Kalyani Investment Company Limited
NSE: KSL,Kalyani Steels Limited
NSE: KAMATHOTEL,Kamat Hotels (I) Limited
NSE: KAMDHENU,Kamdhenu Limited
NSE: KANANIIND,Kanani Industries Limited
NSE: KANORICHEM,Kanoria Chemicals & Industries Limited
NSE: KANSAINER,Kansai Nerolac Paints Limited
NSE: KAPSTON,Kapston Facilities Management Limited
NSE: KARDA,Karda Constructions Limited
NSE: KARMAENG,Karma Energy Limited
NSE: KARURVYSYA,Karur Vysya Bank Limited
NSE: KGL,Karuturi Global Limited
NSE: KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
NSE: KSCL,Kaveri Seed Company Limited
NSE: KAYA,Kaya Limited
NSE: KCP,KCP Limited
NSE: KCPSUGIND,KCP Sugar and Industries Corporation Limited
NSE: KDDL,KDDL Limited
NSE: KEC,KEC International Limited
NSE: KEERTI,Keerti Knowledge and Skills Limited
NSE: KEI,KEI Industries Limited
NSE: KELLTONTEC,Kellton Tech Solutions Limited
NSE: KERNEX,Kernex Microsystems (India) Limited
NSE: KESORAMIND,Kesoram Industries Limited
NSE: KKCL,Kewal Kiran Clothing Limited
NSE: KEYFINSERV,Keynote Financial Services Limited
NSE: KHADIM,Khadim India Limited
NSE: KHANDSE,Khandwala Securities Limited
NSE: KHFM,Khfm Hospitality And Facility Management Services Limited
NSE: KILITCH,Kilitch Drugs (India) Limited
NSE: KINGFA,Kingfa Science & Technology (India) Limited
NSE: KIOCL,KIOCL Limited
NSE: KIRIINDUS,Kiri Industries Limited
NSE: KIRLOSBROS,Kirloskar Brothers Limited
NSE: KECL,Kirloskar Electric Company Limited
NSE: KIRLOSIND,Kirloskar Industries Limited
NSE: KIRLOSENG,Kirloskar Oil Engines Limited
NSE: KITEX,Kitex Garments Limited
NSE: KKVAPOW,KKV Agro Powers Limited
NSE: KNRCON,KNR Constructions Limited
NSE: KOHINOOR,Kohinoor Foods Limited
NSE: KOKUYOCMLN,Kokuyo Camlin Limited
NSE: KOLTEPATIL,Kolte – Patil Developers Limited
NSE: KOPRAN,Kopran Limited
NSE: KOTAKBANK,Kotak Mahindra Bank Limited
NSE: KOTHARIPET,Kothari Petrochemicals Limited
NSE: KOTHARIPRO,Kothari Products Limited
NSE: KOTARISUG,Kothari Sugars And Chemicals Limited
NSE: KPITTECH,KPIT Technologies Limited
NSE: KRBL,KRBL Limited
NSE: KREBSBIO,Krebs Biochemicals and Industries Limited
NSE: KRIDHANINF,Kridhan Infra Limited
NSE: KRISHANA,Krishana Phoschem Limited
NSE: KRITIKA,Kritika Wires Limited
NSE: KSB,Ksb Limited
NSE: KSHITIJPOL,Kshitij Polyline Limited
NSE: KSK,KSK Energy Ventures Limited
NSE: KSERASERA,KSS Limited
NSE: KUANTUM,Kuantum Papers Limited
NSE: KWALITY,Kwality Limited
NSE: L&TF,L&T Finance Limited
NSE: LTTS,L&T Technology Services Limited
NSE: LAOPALA,La Opala RG Limited
NSE: LAGNAM,Lagnam Spintex Limited
NSE: LFIC,Lakshmi Finance & Industrial Corporation Limited
NSE: LAXMIMACH,Lakshmi Machine Works Limited
NSE: LAKPRE,Lakshmi Precision Screws Limited
NSE: LAKSHVILAS,Lakshmi Vilas Bank Limited
NSE: LAMBODHARA,Lambodhara Textiles Limited
NSE: LPDC,Landmark Property Development Company Limited
NSE: LT,Larsen & Toubro Limited
NSE: LASA,Lasa Supergenerics Limited
NSE: LATTEYS,Latteys Industries Limited
NSE: LAURUSLABS,Laurus Labs Limited
NSE: LAXMICOT,Laxmi Cotspin Limited
NSE: LEMONTREE,Lemon Tree Hotels Limited
NSE: LEXUS,Lexus Granito (India) Limited
NSE: LGBBROSLTD,LG Balakrishnan & Bros Limited
NSE: LGBFORGE,LGB Forge Limited
NSE: LIBAS,Libas Designs Limited
NSE: LIBERTSHOE,Liberty Shoes Limited
NSE: LICHSGFIN,LIC Housing Finance Limited
NSE: LIKHITHA,Likhitha Infrastructure Limited
NSE: LINCPEN,Linc Pen & Plastics Limited
NSE: LINCOLN,Lincoln Pharmaceuticals Limited
NSE: LINDEINDIA,Linde India Limited
NSE: LSIL,Lloyds Steels Industries Limited
NSE: LOKESHMACH,Lokesh Machines Limited
NSE: LOTUSEYE,Lotus Eye Hospital and Institute Limited
NSE: LOVABLE,Lovable Lingerie Limited
NSE: DAAWAT,LT Foods Limited
NSE: LUMAXTECH,Lumax Auto Technologies Limited
NSE: LUMAXIND,Lumax Industries Limited
NSE: LUPIN,Lupin Limited
NSE: LUXIND,Lux Industries Limited
NSE: LYKALABS,Lyka Labs Limited
NSE: LYPSAGEMS,Lypsa Gems & Jewellery Limited
NSE: MKPL,M K Proteins Limited
NSE: MRO,M.R. Organisation Limited
NSE: MAANALU,Maan Aluminium Limited
NSE: MACPOWER,Macpower CNC Machines Limited
NSE: MCL,Madhav Copper Limited
NSE: MADHAV,Madhav Marbles and Granites Limited
NSE: MADHUCON,Madhucon Projects Limited
NSE: MBAPL,Madhya Bharat Agro Products Limited
NSE: MPTODAY,Madhya Pradesh Today Media Limited
NSE: MADRASFERT,Madras Fertilizers Limited
NSE: MAGADSUGAR,Magadh Sugar & Energy Limited
NSE: MAGMA,Magma Fincorp Limited
NSE: MAGNUM,Magnum Ventures Limited
NSE: MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
NSE: MAHASTEEL,Mahamaya Steel Industries Limited
NSE: MGL,Mahanagar Gas Limited
NSE: MTNL,Mahanagar Telephone Nigam Limited
NSE: MAHSCOOTER,Maharashtra Scooters Limited
NSE: MAHSEAMLES,Maharashtra Seamless Limited
NSE: MAHESHWARI,Maheshwari Logistics Limited
NSE: MAHICKRA,Mahickra Chemicals Limited
NSE: M&MFIN,Mahindra & Mahindra Financial Services Limited
NSE: M&M,Mahindra & Mahindra Limited
NSE: MAHINDCIE,Mahindra CIE Automotive Limited
NSE: MAHEPC,Mahindra EPC Irrigation Limited
NSE: MHRIL,Mahindra Holidays & Resorts India Limited
NSE: MAHLIFE,Mahindra Lifespace Developers Limited
NSE: MAHLOG,Mahindra Logistics Limited
NSE: MAITHANALL,Maithan Alloys Limited
NSE: MAJESCO,Majesco Limited
NSE: MALUPAPER,Malu Paper Mills Limited
NSE: MANINDS,Man Industries (India) Limited
NSE: MANINFRA,Man Infraconstruction Limited
NSE: MANAKALUCO,Manaksia Aluminium Company Limited
NSE: MANAKCOAT,Manaksia Coated Metals & Industries Limited
NSE: MANAKSIA,Manaksia Limited
NSE: MANAKSTEEL,Manaksia Steels Limited
NSE: MANALIPETC,Manali Petrochemicals Limited
NSE: MANAPPURAM,Manappuram Finance Limited
NSE: MANAV,Manav Infra Projects Limited
NSE: MANGLMCEM,Mangalam Cement Limited
NSE: MANGALAM,Mangalam Drugs And Organics Limited
NSE: MGEL,Mangalam Global Enterprise Limited
NSE: MANGTIMBER,Mangalam Timber Products Limited
NSE: MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
NSE: MRPL,Mangalore Refinery and Petrochemicals Limited
NSE: MANUGRAPH,Manugraph India Limited
NSE: MARALOVER,Maral Overseas Limited
NSE: MARATHON,Marathon Nextgen Realty Limited
NSE: MARICO,Marico Limited
NSE: MARINE,Marine Electricals (India) Limited
NSE: MARKSANS,Marksans Pharma Limited
NSE: MARSHALL,Marshall Machines Limited
NSE: MARUTI,Maruti Suzuki India Limited
NSE: MDL,Marvel Decor Limited
NSE: MASFIN,MAS Financial Services Limited
NSE: MASKINVEST,Mask Investments Limited
NSE: MASTEK,Mastek Limited
NSE: MATRIMONY,Matrimony.com Limited
NSE: MAWANASUG,Mawana Sugars Limited
NSE: MFSL,Max Financial Services Limited
NSE: MAXHEALTH,Max Healthcare Institute Limited
NSE: MAXINDIA,Max India Limited
NSE: MAXVIL,Max Ventures and Industries Limited
NSE: MAYURUNIQ,Mayur Uniquoters Ltd
NSE: MAZDOCK,Mazagon Dock Shipbuilders Limited
NSE: MAZDA,Mazda Limited
NSE: MBLINFRA,MBL Infrastructures Limited
NSE: MCDHOLDING,McDowell Holdings Limited
NSE: MCLEODRUSS,Mcleod Russel India Limited
NSE: MBECL,Mcnally Bharat Engineering Company Limited
NSE: MEGASOFT,Megasoft Limited
NSE: MEGH,Meghmani Organics Limited
NSE: MELSTAR,Melstar Information Technologies Limited
NSE: MENONBE,Menon Bearings Limited
NSE: MEP,MEP Infrastructure Developers Limited
NSE: MERCATOR,Mercator Limited
NSE: METALFORGE,Metalyst Forgings Limited
NSE: METKORE,Metkore Alloys & Industries Limited
NSE: METROPOLIS,Metropolis Healthcare Limited
NSE: MIC,MIC Electronics Limited
NSE: MMNL,MIG Media Neurons Limited
NSE: MILTON,Milton Industries Limited
NSE: MINDACORP,Minda Corporation Limited
NSE: MINDAIND,Minda Industries Limited
NSE: MINDPOOL,Mindpool Technologies Limited
NSE: MINDTECK,Mindteck (India) Limited
NSE: MINDTREE,MindTree Limited
NSE: MIRCELECTR,MIRC Electronics Limited
NSE: MIRZAINT,Mirza International Limited
NSE: MIDHANI,Mishra Dhatu Nigam Limited
NSE: MITCON,MITCON Consultancy & Engineering Services Limited
NSE: MITTAL,Mittal Life Style Limited
NSE: MMFL,MM Forgings Limited
NSE: MMP,MMP Industries Limited
NSE: MMTC,MMTC Limited
NSE: MODIRUBBER,Modi Rubber Limited
NSE: MHHL,Mohini Health & Hygiene Limited
NSE: MOHITIND,Mohit Industries Limited
NSE: MOHOTAIND,Mohota Industries Limited
NSE: MOIL,MOIL Limited
NSE: MOKSH,Moksh Ornaments Limited
NSE: MOLDTKPAC,Mold-Tek Packaging Limited
NSE: MOLDTECH,Mold-Tek Technologies Limited
NSE: AIONJSW,Monnet Ispat & Energy Limited
NSE: MONTECARLO,Monte Carlo Fashions Limited
NSE: MORARJEE,Morarjee Textiles Limited
NSE: MOREPENLAB,Morepen Laboratories Limited
NSE: MOTHERSUMI,Motherson Sumi Systems Limited
NSE: MOTILALOFS,Motilal Oswal Financial Services Limited
NSE: MPHASIS,MphasiS Limited
NSE: MPSLTD,MPS Limited
NSE: MRF,MRF Limited
NSE: MRO-TEK,MRO-TEK Realty Limited
NSE: MSPL,MSP Steel & Power Limited
NSE: MSTCLTD,MSTC Limited
NSE: MTEDUCARE,MT Educare Limited
NSE: MUKANDENGG,Mukand Engineers Limited
NSE: MUKANDLTD,Mukand Limited
NSE: MUKTAARTS,Mukta Arts Limited
NSE: MUNJALAU,Munjal Auto Industries Limited
NSE: MUNJALSHOW,Munjal Showa Limited
NSE: MURUDCERA,Murudeshwar Ceramics Limited
NSE: RADIOCITY,Music Broadcast Limited
NSE: MUTHOOTCAP,Muthoot Capital Services Limited
NSE: MUTHOOTFIN,Muthoot Finance Limited
NSE: NRAIL,N R Agarwal Industries Limited
NSE: NBIFIN,N. B. I. Industrial Finance Company Limited
NSE: NACLIND,NACL Industries Limited
NSE: NDGL,Naga Dhunseri Group Limited
NSE: NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
NSE: NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NSE: NAGREEKEXP,Nagreeka Exports Limited
NSE: NAHARCAP,Nahar Capital and Financial Services Limited
NSE: NAHARINDUS,Nahar Industrial Enterprises Limited
NSE: NAHARPOLY,Nahar Poly Films Limited
NSE: NAHARSPING,Nahar Spinning Mills Limited
NSE: NSIL,Nalwa Sons Investments Limited
NSE: NDL,Nandan Denim Limited
NSE: NANDANI,Nandani Creation Limited
NSE: NH,Narayana Hrudayalaya Ltd.
NSE: NARMADA,Narmada Agrobase Limited
NSE: NATCOPHARM,Natco Pharma Limited
NSE: NATHBIOGEN,Nath Bio-Genes (India) Limited
NSE: NATIONALUM,National Aluminium Company Limited
NSE: NFL,National Fertilizers Limited
NSE: NATNLSTEEL,National Steel And Agro Industries Limited
NSE: NBVENTURES,Nava Bharat Ventures Limited
NSE: NAVINFLUOR,Navin Fluorine International Limited
NSE: NAVKARCORP,Navkar Corporation Limited
NSE: NAVNETEDUL,Navneet Education Limited
NSE: NBCC,NBCC (India) Limited
NSE: NCC,NCC Limited
NSE: NCLIND,NCL Industries Limited
NSE: NECLIFE,Nectar Lifesciences Limited
NSE: NELCAST,Nelcast Limited
NSE: NELCO,NELCO Limited
NSE: NEOGEN,Neogen Chemicals Limited
NSE: NESCO,Nesco Limited
NSE: NETWORK18,Network18 Media & Investments Limited
NSE: NTL,Neueon Towers Limited
NSE: NEULANDLAB,Neuland Laboratories Limited
NSE: NDTV,New Delhi Television Limited
NSE: NEWGEN,Newgen Software Technologies Limited
NSE: NEXTMEDIA,Next Mediaworks Limited
NSE: NHPC,NHPC Limited
NSE: NIITLTD,NIIT Limited
NSE: NILAINFRA,Nila Infrastructures Limited
NSE: NILASPACES,Nila Spaces Limited
NSE: NILKAMAL,Nilkamal Limited
NSE: NAM-INDIA,Nippon Life India Asset Management Limited
NSE: NIRAJISPAT,Niraj Ispat Industries Limited
NSE: NITCO,Nitco Limited
NSE: NITINFIRE,Nitin Fire Protection Industries Limited
NSE: NITINSPIN,Nitin Spinners Limited
NSE: NITIRAJ,Nitiraj Engineers Limited
NSE: NKIND,NK Industries Limited
NSE: NLCINDIA,NLC India Limited
NSE: NMDC,NMDC Limited
NSE: NOCIL,NOCIL Limited
NSE: NOIDATOLL,Noida Toll Bridge Company Limited
NSE: NORBTEAEXP,Norben Tea & Exports Limited
NSE: NECCLTD,North Eastern Carrying Corporation Limited
NSE: NRBBEARING,NRB Bearing Limited
NSE: NIBL,NRB Industrial Bearings Limited
NSE: NTPC,NTPC Limited
NSE: NUCLEUS,Nucleus Software Exports Limited
NSE: NXTDIGITAL,NXTDigital Limited
NSE: OBEROIRLTY,Oberoi Realty Limited
NSE: OISL,OCL Iron and Steel Limited
NSE: ONGC,Oil & Natural Gas Corporation Limited
NSE: OILCOUNTUB,Oil Country Tubular Limited
NSE: OIL,Oil India Limited
NSE: OLECTRA,Olectra Greentech Limited
NSE: OMMETALS,OM Metals Infraprojects Limited
NSE: OMAXAUTO,Omax Autos Limited
NSE: OMAXE,Omaxe Limited
NSE: OMFURN,Omfurn India Limited
NSE: OMKARCHEM,Omkar Speciality Chemicals Limited
NSE: ONEPOINT,One Point One Solutions Limited
NSE: ONELIFECAP,Onelife Capital Advisors Limited
NSE: ONMOBILE,OnMobile Global Limited
NSE: ONWARDTEC,Onward Technologies Limited
NSE: OPAL,Opal Luxury Time Products Limited
NSE: OPTIEMUS,Optiemus Infracom Limited
NSE: OPTOCIRCUI,Opto Circuits (India) Limited
NSE: OFSS,Oracle Financial Services Software Limited
NSE: ORBTEXP,Orbit Exports Limited
NSE: ORCHIDPHAR,Orchid Pharma Limited
NSE: ORICONENT,Oricon Enterprises Limited
NSE: ORIENTABRA,Orient Abrasives Limited
NSE: ORIENTBELL,Orient Bell Limited
NSE: ORIENTCEM,Orient Cement Limited
NSE: ORIENTELEC,Orient Electric Limited
NSE: GREENPOWER,Orient Green Power Company Limited
NSE: ORIENTPPR,Orient Paper & Industries Limited
NSE: ORIENTLTD,Orient Press Limited
NSE: ORIENTREF,Orient Refractories Limited
NSE: OAL,Oriental Aromatics Limited
NSE: OCCL,Oriental Carbon & Chemicals Limited
NSE: ORIENTHOT,Oriental Hotels Limited
NSE: ORIENTALTL,Oriental Trimex Limited
NSE: ORTEL,Ortel Communications Limited
NSE: ORTINLABSS,Ortin Laboratories Limited
NSE: OSIAHYPER,Osia Hyper Retail Limited
NSE: OSWALAGRO,Oswal Agro Mills Limited
NSE: BINDALAGRO,Oswal Chemicals & Fertilizers Limited
NSE: PAEL,PAE Limited
NSE: PAGEIND,Page Industries Limited
NSE: PAISALO,Paisalo Digital Limited
